DATA,MEDIA
2004-05,3.14
2004-06,3.13
2004-07,3.04
2004-08,3.0
2004-09,2.89
2004-10,2.85
2004-11,2.79
2004-12,2.72
2005-01,2.69
2005-02,2.6
2005-03,2.71
2005-04,2.58
2005-05,2.45
2005-06,2.42
2005-07,2.37
2005-08,2.36
2005-09,2.3
2005-10,2.26
2005-11,2.21
2005-12,2.28
2006-01,2.27
2006-02,2.16
2006-03,2.15
2006-04,2.13
2006-05,2.18
2006-06,2.25
2006-07,2.19
2006-08,2.16
2006-09,2.17
2006-10,2.15
2006-11,2.16
2006-12,2.15
2007-01,2.14
2007-02,2.1
2007-03,2.09
2007-04,2.03
2007-05,1.98
2007-06,1.93
2007-07,1.88
2007-08,1.96
2007-09,1.9
2007-10,1.8
2007-11,1.77
2007-12,1.79
2008-01,1.77
2008-02,1.73
2008-03,1.71
2008-04,1.69
2008-05,1.66
2008-06,1.62
2008-07,1.59
2008-08,1.61
2008-09,1.79
2008-10,2.18
2008-11,2.27
2008-12,2.4
2009-01,2.31
2009-02,2.32
2009-03,2.31
2009-04,2.21
2009-05,2.07
2009-06,1.96
2009-07,1.93
2009-08,1.85
2009-09,1.82
2009-10,1.74
2009-11,1.73
2009-12,1.75
2010-01,1.78
2010-02,1.84
2010-03,1.79
2010-04,1.76
2010-05,1.82
2010-06,1.81
2010-07,1.77
2010-08,1.76
2010-09,1.72
2010-10,1.68
2010-11,1.71
2010-12,1.69
2011-01,1.68
2011-02,1.67
2011-03,1.66
2011-04,1.58
2011-05,1.61
2011-06,1.59
2011-07,1.56
2011-08,1.6
2011-09,1.75
2011-10,1.77
2011-11,1.79
2011-12,1.84
2012-01,1.79
2012-02,1.72
2012-03,1.79
2012-04,1.85
2012-05,1.98
2012-06,2.05
2012-07,2.03
2012-08,2.03
2012-09,2.03
2012-10,2.03
2012-11,2.07
2012-12,2.08
2013-01,2.03
2013-02,1.97
2013-03,1.98
2013-04,2.0
2013-05,2.04
2013-06,2.17
2013-07,2.25
2013-08,2.34
2013-09,2.27
2013-10,2.19
2013-11,2.3
2013-12,2.35
2014-01,2.38
2014-02,2.38
2014-03,2.33
2014-04,2.23
2014-05,2.22
2014-06,2.23
2014-07,2.22
2014-08,2.27
2014-09,2.33
2014-10,2.45
2014-11,2.55
2014-12,2.64
2015-01,2.64
2015-02,2.82
2015-03,3.14
2015-04,3.05
2015-05,3.06
2015-06,3.11
2015-07,3.22
2015-08,3.51
2015-09,3.89
2015-10,3.88
2015-11,3.78
2015-12,3.88
2016-01,4.05
2016-02,3.97
2016-03,3.7
2016-04,3.56
2016-05,3.54
2016-06,3.43
2016-07,3.28
2016-08,3.21
2016-09,3.25
2016-10,3.19
2016-11,3.34
2016-12,3.35
2017-01,3.2
2017-02,3.1
2017-03,3.13
2017-04,3.14
2017-05,3.21
2017-06,3.29
2017-07,3.21
2017-08,3.15
2017-09,3.13
2017-10,3.19
2017-11,3.26
2017-12,3.3
2018-01,3.21
2018-02,3.25
2018-03,3.28
2018-04,3.41
2018-05,3.63
2018-06,3.78
2018-07,3.83
2018-08,3.93
2018-09,4.11
2018-10,3.76
2018-11,3.78
2018-12,3.89
2019-01,3.75
2019-02,3.72
2019-03,3.84
2019-04,3.9
2019-05,4.0
2019-06,3.86
2019-07,3.78
2019-08,4.02
2019-09,4.12
2019-10,4.09
2019-11,4.15
2019-12,4.11
2020-01,4.14
2020-02,4.34
2020-03,4.89
2020-04,5.31
2020-05,5.64
2020-06,5.19
2020-07,5.28
2020-08,5.45
2020-09,5.4
2020-10,5.62
2020-11,5.44
2020-12,5.15
2021-01,5.34
2021-02,5.41
2021-03,5.64
2021-04,5.62
